ReviewKey,CheckedAt,Code,Hotel,Author,Rating,RelativeTime,Text
TSB|e04e81f88a,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,ณรงค์ เนื้อไม้,,,ห้องพักสะอาด
TSB|944243ab92,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,piyawan khantha,,,สะอาด
TSB|efd60b73cf,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,nutsirin Jettavong,,,เดินทางสะดวก ปลอดภัย
TSB|2991aa1b5a,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,สถาพร,,,บริการดีมาก
TSB|7f53b7455d,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,ZiiLo Shift,,,คุณภาพเกินราคา
TSB|b4067c496d,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,วสันต์ นุ่นสังข์,,,ยอดเยี่ยมเลย
TSB|8199330b9f,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Amy Quah,,,ทุกครั้งที่ฉันเข้าพักที่โรงแรมนี้ในกรุงเทพฯ ฉันรู้สึกได้รับการดูแลเอาใจใส่เป็นอย่างดี แม็กซ์เป็นพนักงานที่โดดเด่นมาก เขาเป็นคนทุ่มเท อบอุ่น และพร้อมที่จะช่วยเหลืออย่างเต็มที่เสมอ ความเอาใจใส่ที่แท้จริงของเขาเป็นหนึ่งในเหตุผลสำคัญที่ทำให้ฉันเลือกโรงแรมนี้อย่างต่อเนื่อง  เจ้าหน้าที่รักษาความปลอดภัยที่ทางเข้าก็สมควรได้รับการยกย่องเช่นกัน สำหรับความเป็นมิตรและท่าทีที่เป็นมิตร ซึ่งสร้างความประทับใจที่ดีตั้งแต่แรกเห็น  โรงแรมสะอาดและสะดวกสบาย หากแสงสว่างในห้องสว่างกว่านี้อีกหน่อยก็จะทำให้การเข้าพักดียิ่งขึ้นไปอีก โดยรวมแล้ว ทีมบริการ โดยเฉพาะแม็กซ์ ทำให้ทุกครั้งที่มาเยือนเป็นที่น่าจดจำ ฉันยินดีที่จะกลับมาพักอีกและจะแนะนำโรงแรมนี้ให้กับเพื่อนๆ ของฉัน
TSB|f128c13aa0,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Katsuhiko Sato,,,ฉันใช้บริการโรงแรมนี้ปีละสองสามครั้ง แม้ว่าโรงแรมจะอยู่ติดถนนสลาวอง แต่ทางเข้าโรงแรมอยู่ลึกเข้าไปด้านใน และห้องพักค่อนข้างเงียบสงบ  พนักงานทุกคน รวมถึงเจ้าหน้าที่รักษาความปลอดภัยภายนอก เป็นมิตรและให้ความช่วยเหลือดี ในการมาพักครั้งก่อน รถของฉันถูกรถจักรยานยนต์ชนแล้วหนีขณะจอดอยู่ แต่พนักงานหญิงที่เคาน์เตอร์ด้านหน้าช่วยฉันหาทางแก้ไข และเจ้าหน้าที่รักษาความปลอดภัยก็ช่วยซ่อมแซมความเสียหายด้วยตัวเอง  โรงแรมอาจจะเก่าไปหน่อย แต่เป็นโรงแรมที่ดีมาก  ฉันกลับมาหลังจากหายไปหกเดือน และพนักงานก็เป็นคนคุ้นหน้าคุ้นตา รู้สึกเหมือนได้กลับมายังสถานที่ที่คุ้นเคย  ระบบล็อคประตูทางเข้าเปลี่ยนเป็นระบบใช้บัตรแล้ว ทีวีมีขนาดใหญ่ขึ้น และตอนนี้มีอินเทอร์เน็ตแล้ว ทำให้สะดวกสบายมากขึ้น
TSB|050dcb0b54,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Kuo-Mean Oo,,,ขอแนะนำโรงแรมนี้อย่างยิ่ง!  เรามาประเทศไทยบ่อยครั้งเพื่อทำธุรกิจ และทุกครั้งเราเลือกพักที่นี่เสมอ บริการดีเยี่ยมมาก ขอขอบคุณโทนี่ แม็กซ์ และพนักงานแผนกต้อนรับและพนักงานบริการทุกคน ทุกคนเป็นกันเอง ต้อนรับอย่างอบอุ่น และพร้อมให้ความช่วยเหลือเสมอ พวกเขาทำให้เรารู้สึกเหมือนอยู่บ้านจริงๆ  ทำเลที่ตั้งก็สมบูรณ์แบบ มีร้านสะดวกซื้อ ร้านนวด และร้านอาหารมากมายอยู่ด้านนอก ทำให้ทุกอย่างสะดวกสบายมากหลังจากทำงานมาทั้งวัน  นี่คือโรงแรมที่เราเลือกพักเสมอเมื่อมาประเทศไทย หวังว่าจะได้กลับมาอีกครั้ง!
TSB|87a616373b,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,ShawnW1688,,,โรงแรมแห่งนี้มีอายุเก่าแก่ แต่ความเก่าแก่นั้นกลับยิ่งเพิ่มเสน่ห์แบบย้อนยุค คุ้มค่ามากหากคุณกำลังมองหาโรงแรมที่อยู่ใกล้กับย่านสถานบันเทิงยามค่ำคืนสุรวงศ์/สีลม มีร้านนวดมากมายทันทีที่คุณก้าวออกจากโรงแรมไปยังถนนสุรวงศ์ …
TSB|81a77be415,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,โรงแรมดี พนักงานน่ารักและใจดีมาก ตอนแรกฉันได้ห้องที่แอร์เสีย แต่พอฉันบ่น พวกเขาก็เปลี่ยนห้องให้ ก๊อกน้ำและอ่างอาบน้ำในห้องน้ำอาจจะเก่าหน่อย แต่ก็สะอาดพอใช้ได้ ฉันจะกลับมาพักที่นี่อีกแน่นอน เพราะพนักงานยอดเยี่ยมและทำเลที่ตั้งดีเยี่ยม
TSB|2ae6d79900,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Jihwankang,,,โรงแรมอยู่ห่างจากย่านบันเทิงธนิยะและพัฒน์พงษ์เพียงไม่กี่ก้าว ทำให้เหมาะสำหรับผู้ที่ต้องการสนุกกับชีวิตกลางคืน โรงแรมตั้งอยู่ห่างจากถนนใหญ่เล็กน้อย จึงเงียบสงบอย่างน่าประหลาดใจ ห่างไกลจากความวุ่นวายภายนอก ไม่มีสระว่ายน้ำหรือฟิตเนส …
TSB|f34ee26cf8,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,S S,,,"การเข้าพักในห้องเตียงคู่ของเรานั้นยอดเยี่ยมมาก! ห้องพักสะอาดและได้รับการดูแลอย่างดีเยี่ยม ในราคา 1,170 บาท ถือว่าคุ้มค่าและน่าพึงพอใจมาก ฉันขอแนะนำอย่างยิ่ง!  ฉันและเพื่อนพักในห้องเตียงคู่ ห้องพักสะอาดมาก และราคา 1,170 บาทนั้นสมเหตุสมผลมาก ฉันขอแนะนำค่ะ"
TSB|9591b8ce3e,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Tanitovic PJ,,,ฉันเคยพักที่โรงแรมนี้หลายครั้งแล้ว โรงแรมค่อนข้างเก่าและมีลิฟต์ขนาดเล็ก ห้องพักกว้างขวาง ซึ่งเป็นสิ่งที่ฉันชอบเกี่ยวกับโรงแรมนี้ มีมินิบาร์ครบครันพร้อมน้ำดื่มบรรจุขวด 2 ขวด พนักงานบางคนเป็นมิตรมาก แต่บางคนก็ค่อนข้างเย็นชาและไม่เป็นมิตร ฉันยังคงกลับมาพักที่นี่เพราะห้องพักกว้างขวางและทำเลที่ตั้ง
TSB|05d5563728,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Daniele Re,,,"สถานที่นี้แตกต่างจากภาพที่เห็นมาก เห็นได้ชัดว่ามีความพยายามที่จะทำให้ดูน่าสนใจและน่าอยู่ขึ้น แต่ในความเป็นจริงแล้ว สีสัน ความเป็นระเบียบ และความสะอาดที่ภาพถ่ายทอดออกมานั้นไม่ได้เป็นไปตามที่คาดหวังไว้เลย ฉันไม่ค่อยวิจารณ์ในแง่ลบเท่าไหร่ เพราะมันทำให้เสียภาพลักษณ์ของธุรกิจ แต่ที่นี่ทำให้ฉันผิดหวังจริงๆ พวกเขา ""บอก"" กับเราว่าจะอัปเกรดห้องพักให้เรา... ห้องธรรมดาๆ จะเป็นยังไงนะ? ตู้เสื้อผ้า? กลิ่นเหม็น สิ่งของ และเทคโนโลยีต่างๆ ที่เหมือนหลุดออกมาจากยุค 70s กล่องเต็มไปหมด ห้องพักน่าจะกำลังซ่อมแซมอยู่ ทิ้งไว้ทั้งคืนแต่ยังล็อกอยู่ แล้วเช้าวันรุ่งขึ้นก็พบว่ายังล็อกอยู่ แล้วพวกเขาคิดว่าตัวเองทำงานอะไรล่ะ? ไม่ใช่เจ้าของโรงแรม!"
TSB|eab804734a,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,45莊文龍,,,โรงแรมนี้ดีมาก ราคาไม่แพง ห้องพักกว้างขวาง และเตียงใหญ่ บางคนบอกว่ามันเก่าไปหน่อย แต่ก็ไม่ได้ส่งผลต่อคุณภาพการนอนหลับเลย มันตั้งอยู่ในซอยเล็กๆ และยังมีอ่างอาบน้ำอีกด้วย
TSB|83f42598eb,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,RandyRively,,,ที่นี่เป็นที่พักโปรดของเรามาตั้งแต่ปี 2001 เรียบง่าย เป็นกันเอง ทำเลดี และสะอาด ||แม้ว่าจะผ่านมานานแล้วตั้งแต่เรามาพักที่นี่ครั้งล่าสุด แต่เราก็ตั้งตารอที่จะกลับมามาก รู้สึกผิดหวังเล็กน้อยจริงๆ - ไม่มีดอกบัวที่เคาน์เตอร์แล้ว …
TSB|a9b76e528f,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Ray,,,ตั้งแต่ครั้งแรกที่ผมมาเยือนกรุงเทพฯ ในปี 2547 และอีก 20 ครั้งที่มาเยือนต่อมา ผมก็พักที่โรงแรมตานวันมาโดยตลอด การผสมผสานระหว่างทำเลที่ตั้ง พนักงาน และบริการนั้นหาที่ไหนเทียบไม่ได้ พนักงานทุกคน โดยเฉพาะแม็กซ์ที่แผนกต้อนรับ ต่างก็เอาใจใส่ เป็นมิตร และช่วยเหลือดีมาก บางคนทำงานที่โรงแรมนี้มาอย่างน้อยตลอด 22 ปีที่ผมมาเยือน และจำชื่อผมได้ทุกครั้ง
TSB|6cdc35ecfb,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,ที่ตั้งของโรงแรมค่อนข้างไม่สะดวกนัก เพราะไม่มีจุดจอดรถสำหรับผู้โดยสาร คุณต้องขึ้นแท็กซี่ริมถนน สิ่งอำนวยความสะดวกของโรงแรมก็พอใช้ได้ แต่ไม่มีฟิตเนสซึ่งถือว่าน่าเสียดาย พนักงานที่นั่นเป็นมิตรมาก! ยามรักษาความปลอดภัยยังเสนอที่จะเปิดประตูให้เราทุกครั้งที่เราจะเข้าหรือออกจากโรงแรมด้วยซ้ำ
TSB|8bbddcebdc,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Brett Cameron,,,การเข้าพักยอดเยี่ยมมาก - ทำเลที่ตั้งและพนักงานดีเยี่ยม!! ตั้งแต่เจ้าหน้าที่รักษาความปลอดภัย พนักงานทำความสะอาด ไปจนถึงพนักงานต้อนรับ ทุกคนยอดเยี่ยมมาก ห้องพักและอาคารอาจดูเก่าไปหน่อย แต่เมื่อเทียบกับราคาและทำเลที่ตั้งแล้วถือว่าคุ้มค่า โดยเฉพาะอย่างยิ่งเหมาะสำหรับผู้ที่มองหาแหล่งบันเทิงยามค่ำคืนของกลุ่ม LGBTQ+ ในบริเวณใกล้เคียง ขอแนะนำเป็นอย่างยิ่ง
TSB|5fec39c475,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Piper Ryu,,,หลังจากเช็คเอาท์แล้ว ฉันเผลอลืมกระเป๋าที่มีเงินสดและบัตรเครดิตไว้ในห้อง ฉันไปสอบถามที่โรงแรมแล้วว่าพวกเขาลืมอะไรไว้หรือเปล่า แต่พวกเขาบอกว่าไม่ได้ลืมไว้ เนื่องจากกล้องวงจรปิดและหลักฐานอื่นๆ แสดงให้เห็นว่ามีเพียงพนักงานทำความสะอาดเท่านั้นที่เข้ามาในห้องหลังจากที่ฉันเช็คเอาท์แล้ว จึงเป็นไปได้ว่าพนักงานทำความสะอาดเป็นคนขโมยไป โปรดระวังว่าโรงแรมนี้มีพนักงานทำความสะอาดบางคนที่ไม่ซื่อสัตย์
TSB|1ac4e513ee,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,paul026,,,โรงแรมที่ดีในทำเลที่ยอดเยี่ยม มีสิ่งอำนวยความสะดวกมากมายในบริเวณใกล้เคียง ทั้งอาหาร บริการนวด และอื่นๆ อีกมากมาย อยู่ใกล้ทุกอย่าง ||ฉันเคยพักที่นี่เมื่อหลายปีก่อน และที่นี่ก็เป็นที่พักที่ดีเสมอมาในราคาปานกลางและบริการที่ดี …
TSB|5e9ed9090f,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,ทำเลดีเยี่ยม ห้องใหญ่ สะอาด มีอ่างอาบน้ำ น้ำดื่มบรรจุขวดให้ 2 ขวด อาจต้องปรับปรุงบ้าง มีลิฟต์เพียงตัวเดียว แต่โดยรวมแล้วจะกลับมาพักอีก
TSB|6e94ce4681,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,jint2026,,,โรงแรมตาร์นทาวันเป็นโรงแรมที่ฉันเลือกพักในกรุงเทพฯ สะดวกสบาย เป็นกันเอง และอยู่ใกล้สถานีรถไฟและตลาด |แมทที่แผนกต้อนรับเป็นกันเองและให้การต้อนรับดี |พนักงานทำความสะอาดก็ยอดเยี่ยมเช่นกัน แมงโก้และน้อยเป็นกันเองและทำงานได้อย่างมีประสิทธิภาพมาก และดูแลห้องพักให้อยู่ในสภาพดีเยี่ยม ขอบคุณพนักงานโรงแรมตาร์นทาวัน
TSB|0dfcc70190,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,เป็นประสบการณ์ที่ยอดเยี่ยมมากค่ะ ฉันอ่านรีวิวของคนอื่นๆ ก่อนจองห้องพัก แม้ว่าตอนที่ฉันเข้าพัก ฉันจะสังเกตเห็นคราบน้ำมันที่ไม่ทราบสาเหตุบนผ้าปูที่นอน แต่หลังจากแจ้งให้พนักงานต้อนรับทราบ พวกเขาก็ส่งคนมาเปลี่ยนผ้าปูที่นอนให้ทันที บริการดีเยี่ยมมากค่ะ
TSB|813fc2cc1a,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Roman PetAvia,,,คุ้มค่าเงินเป็นอย่างยิ่ง ห้องพักสวยงาม ดูใหม่เอี่ยม มีสิ่งอำนวยความสะดวกครบครัน (แม้ว่าห้องน้ำอาจจะต้องปรับปรุงบ้าง) และบริการเป็นกันเอง! มีที่จอดรถ ทำเลสะดวก แนะนำเลย
TSB|1ebbd48410,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,โรงแรมแห่งนี้ตั้งอยู่ในทำเลที่ดีเยี่ยมสำหรับการหากิจกรรมทำ โดยเฉพาะในเวลากลางคืน เป็นโรงแรมสไตล์เก่า สิ่งอำนวยความสะดวกก็อยู่ในระดับปานกลาง ไม่หรูหราหรือสะดวกสบายมากนัก แต่ราคาก็ถือว่าคุ้มค่าเมื่อเทียบกับสิ่งที่ได้รับและทำเลที่ตั้ง
TSB|68dce9f4c2,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,DrJ.I.N,,,ราคาถูกอย่างไม่ต้องสงสัย แต่ไม่สมควรได้รับระดับ 4 ดาวอย่างแน่นอน พนักงานต้อนรับเป็นมิตร ยังคงใช้กุญแจแบบเดิมอยู่ ระบบรักษาความปลอดภัยแทบไม่มีเลย โดยเฉพาะยามกะกลางคืนที่มีท่าทีเหมือนพวกอันธพาล อย่าเสียเวลาสั่งอาหารเช้าเลย กินข้างนอกดีกว่า แอร์เย็น ช่องทีวีแย่มาก น้ำร้อนไม่สม่ำเสมอ น่าเสียดายที่ฉันจะไม่กลับมาอีกแล้ว มีข้อมูลว่าก่อนหน้านี้เป็นโรงแรมที่ดีมาก ฉันเดาว่ามันคงเลยช่วงเวลาที่ดีที่สุดไปแล้ว ฉันแนะนำให้ไปพักที่โรงแรมสยามเฮอริเทจแทนดีกว่า
TSB|cd59d6c4a2,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,983gra_as,,,โรงแรมเรียบง่ายแต่เป็นกันเอง ตั้งอยู่บนถนนที่พลุกพล่าน มีตลาดกลางคืนอยู่ใกล้ๆ สถานีรถไฟใต้ดินอยู่ห่างออกไปประมาณ 10-15 นาที มีร้านแลกเปลี่ยนเงินตราหลายแห่งอยู่ใกล้ๆ | พนักงานเป็นกันเองมาก ห้องพักดี แต่หมอนแข็งเกินไปนอนไม่ค่อยหลับ …
TSB|69a251f2c3,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,jorge,,,ระวัง!! Agoda แสดงภาพห้องพักห้องหนึ่ง แต่พอไปพักห้องด้านในชั้นล่างกลับได้ห้องที่เหม็นและไม่เหมือนกับห้องในโฆษณาเลย พอเราขอเปลี่ยนเป็นห้องในรูป พวกเขาก็คิดเงินเพิ่มอีก 15 ยูโร ในความคิดของฉัน นี่เป็นการหลอกลวง
TSB|47acd6ef9b,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,พนักงานเป็นมิตร ทำเลดีในย่านพัฒน์พงษ์แต่เงียบสงบ ห้องพักกว้างขวางน่าพักมาก อยากกลับมาพักอีกครั้งค่ะ
TSB|0b3529533f,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,ทำเลดีที่สีลม ราคาคุ้มค่าสำหรับห้องพักที่ดีสำหรับการเข้าพัก 2 คืน เงียบสงบกว่าย่านสีลมที่คึกคักมาก จะกลับมาพักอีกแน่นอน
TSB|3023356b0a,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Trip.com Member,,,ข้อดี: ห้องพักคุณภาพดี / บริการพนักงานยอดเยี่ยม / เดินไปสถานีศาลาแดงได้สะดวก ข้อเสีย: จองช้าไปหน่อย ราคาจึงสูงกว่าปกติ จองล่วงหน้าจะถูกกว่า
TSB|3c96d9ef6e,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Julie Downs,,,ห้องพักขนาดกำลังดี สะอาด พนักงานเป็นมิตรและให้ความช่วยเหลือดี ฉันพักเฉพาะห้องพักจึงไม่ได้ลองทานอาหารเช้า แม้ว่าจะมีตัวเลือกให้เลือกหากต้องการก็ตาม ทำเลที่ตั้งดีเยี่ยมสำหรับการเที่ยวชมเมือง และอยู่ห่างจากถนนเล็กน้อย จึงเงียบสงบก่อนที่จะเข้าสู่ความวุ่นวายและย่านใจกลางเมือง
TSB|1f7ea94587,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,julio leonardo julio,,,โรงแรมดีมาก ห้องพักกว้างขวาง เตียงนุ่มสบาย พนักงานสุภาพและเป็นมิตรมาก และทำเลที่ตั้งยอดเยี่ยม! ฉันแนะนำเลย!
